latitude,longitude,Month,day
-38.58183,144.918,July,26
-35.95685,142.47632,March,21
-36.9633,144.27796,June,12
-37.74013,147.87627,October,11
-37.82346,147.89294,September,1
-36.78845,144.39733,September,2
-37.60379,145.2085,October,6
-36.91517,143.91799,March,12
-36.91516,144.75131,April,26
-34.87063,142.30608,October,26
-35.08185,141.75132,Unknown,
-38.05078,145.68544,January,1
-37.82346,147.89294,April,1
-36.71967,144.2642,May,27
-37.41513,147.25128,May,10
-37.56931,145.07912,October,26
-37.8068,147.62628,August,1
-36.45682,144.79297,October,22
-37.60249,145.18248,Unknown,
-37.64205,145.23592,February,1
-37.82346,147.89294,January,1
-37.4225,144.92468,January,8
-37.91513,147.91794,Unknown,
-36.20682,145.29295,October,27
-37.8568,147.94294,June,1
-34.91518,141.58465,Unknown,
-37.58183,144.91798,September,18
-34.27351,141.50964,January,28
-36.9219,145.72753,November,12
-37.8568,147.84294,March,1
-36.5818,146.91794,May,18
-37.82347,147.60961,January,1
-37.8568,147.92627,May,1
-37.84013,147.70961,July,1
-37.80238,145.17078,October,2
-34.78871,142.11133,January,21
-35.58183,143.7513,Unknown,
-35.5235,143.20964,June,30
-38.04015,146.29297,March,21
-37.58184,143.58467,December,1
-36.6046,147.34061,March,27
-37.91516,145.25132,July,1
-37.64205,145.23592,August,1
-37.64205,145.23592,September,1
-37.8376,145.23468,September,15
-38.24848,146.58464,October,4
-38.08181,146.2513,November,23
-37.24848,145.91796,January,18
-34.7969,142.36941,September,19
-36.24847,146.08461,June,1
-34.19583,141.10607,December,26
-36.79014,146.04295,September,14
-38.24849,145.46799,May,3
-37.74852,142.41802,November,9
-38.35734,144.94403,December,19
-36.41515,145.08463,September,28
-37.4882,145.02465,December,2
-37.91516,145.41798,June,1
-38.99849,146.16799,August,29
-37.74854,141.08471,October,20
-38.12349,145.70965,January,1
-35.79017,143.45964,August,14
-37.9568,147.70961,January,1
-37.87346,147.82628,March,1
-37.74849,145.41798,Unknown,
-37.99013,147.72628,September,7
-37.87346,147.85961,June,1
-38.0068,147.52628,October,19
-37.91516,145.08465,September,1
-37.82346,147.87627,January,1
-35.44016,143.5763,March,4
-37.04746,142.41665,October,14
-37.85679,147.99294,April,30
-37.74852,142.25136,November,5
-37.70958,145.80494,December,1
-36.24847,146.5846,Unknown,
-37.87346,147.94294,April,1
-34.9735,142.7763,September,20
-35.20685,142.04298,December,15
-37.08182,145.08464,December,1
-37.82346,147.85961,July,1
-37.91517,144.25133,October,26
-38.01466,144.22926,July,6
-37.89276,145.4392,July,23
-37.91516,145.08465,September,1
-35.7485,143.7513,January,26
-37.8068,147.64295,August,1
-37.91515,145.58465,Unknown,
-37.57778,145.21705,October,17
-36.62347,146.20961,September,15
-37.22267,144.04555,May,15
-37.74853,142.08469,December,1
-38.24849,145.25132,September,1
-37.8568,147.90961,June,1
-38.55335,143.62305,March,9
-34.42956,141.44267,June,20
-37.82346,147.85961,September,1
-37.61141,144.62037,February,24
-37.58642,145.51584,December,9
-37.99777,145.1033,April,11
-38.58183,145.25133,November,15
-37.8568,147.90961,June,1
-34.41517,142.08464,February,9
-37.87346,148.02627,November,26
-38.0656,144.40855,January,1
-35.95683,144.29296,September,26
-37.87346,147.92628,January,1
-37.74853,142.08469,September,1
-37.66513,147.33461,May,18
-37.80105,145.20147,January,1
-34.54018,141.59298,May,22
-38.08183,144.58466,December,31
-34.76216,142.3306,January,24
-37.94897,145.26957,January,8
-38.24848,146.25131,October,19
-37.8055,145.19796,January,1
-37.55431,144.74105,August,5
-37.50519,144.17583,December,12
-36.1235,143.79297,September,30
-38.58184,143.91802,November,14
-37.86037,145.58652,October,7
-37.54094,145.05269,October,26
-37.64205,145.23592,June,1
-37.08182,145.2513,August,28
-37.87346,147.85961,May,1
-34.42352,141.35965,January,29
-37.74848,146.58463,December,6
-37.82346,147.85961,May,1
-35.24852,141.41799,April,5
-37.91516,144.75132,December,6
-38.24848,146.25131,April,1
-38.2485,144.418,June,1
-37.86823,144.90428,October,2
-37.79741,145.14137,September,26
-37.86948,145.45106,April,26
-38.09387,145.13959,May,2
-36.49847,146.50127,March,1
-38.58181,146.75131,December,20
-38.55452,143.57031,March,6
-35.3735,143.1263,October,28
-36.58181,145.58462,November,25
-37.66034,145.25362,October,3
-38.4152,142.25137,August,3
-37.84017,144.20966,August,14
-36.41516,144.08464,March,1
-37.08184,143.91799,April,13
-36.0818,146.41794,January,16
-36.33558,146.5483,May,29
-36.84015,145.67629,February,28
-37.22267,144.04555,September,5
-35.17676,142.1726,October,17
-36.8235,144.24298,July,20
-36.70682,145.1263,June,8
-37.58183,144.91798,September,18
-35.41047,141.1572,February,25
-37.91513,147.75128,Unknown,
-37.98078,145.16863,May,12
-37.89017,144.17633,March,1
-37.8568,147.92627,December,1
-38.08181,146.2513,April,18
-36.27626,144.11059,October,16
-37.80169,144.29289,May,2
-38.41517,144.918,December,1
-38.45266,145.57828,September,1
-36.41515,145.75128,December,22
-37.82347,147.60961,September,1
-37.8568,147.92627,September,1
-37.74853,141.5847,March,3
-34.24586,141.59157,February,21
-37.87346,147.99294,May,1
-36.2068,147.20959,May,28
-37.58183,144.75132,September,7
-37.85679,147.95961,May,1
-36.53594,145.63223,November,25
-37.8068,147.84294,September,1
-37.3047,145.70192,November,18
-37.46631,145.06367,October,11
-37.87346,147.99294,June,20
-37.8068,147.62628,December,1
-35.99018,142.05966,July,31
-36.62348,145.95962,January,1
-37.87346,147.92628,October,1
-37.58179,148.0846,March,8
-38.41517,144.918,June,1
-35.79016,143.95963,September,21
-37.24848,145.91796,October,1
-37.56738,145.07124,October,25
-34.39637,141.38919,October,15
-34.19135,141.06483,December,26
-36.41515,145.08463,April,18
-37.83873,145.19033,May,19
-37.8568,147.94294,July,1
-37.64205,145.23592,July,1
-37.24848,145.91796,June,1
-36.66517,143.33466,November,4
-37.89013,147.85961,January,1
-35.77351,142.20966,March,18
-36.50686,141.84301,October,1
-37.8068,147.85961,November,1
-37.64205,145.23592,December,1
-34.86411,142.32567,October,25
-37.89188,145.92368,November,9
-38.74849,146.08465,February,11
-35.58183,143.7513,Unknown,
-37.91515,145.91797,June,27
-38.58181,146.75131,April,5
-37.87346,147.69295,May,31
-36.12346,147.20959,July,22
-38.08183,145.08466,August,11
-35.81606,144.35975,November,15
-36.70687,141.04302,February,7
-35.76934,144.32591,November,14
-36.1235,143.95964,September,20
-37.75679,148.09294,April,3
-35.41516,143.58463,March,1
-37.58183,144.91798,June,1
-36.79014,146.12628,October,14
-37.84017,144.20966,March,2
-36.72327,144.26408,October,29
-36.7068,146.62628,April,2
-37.99013,147.70961,September,7
-37.6485,144.50132,January,1
-38.26117,145.2359,January,1
-37.74854,141.08471,October,22
-35.41516,143.58463,July,3
-38.41519,142.91803,February,16
-38.46197,144.09763,October,2
-36.0818,147.08459,August,23
-38.24848,146.41797,March,1
-36.0818,146.41794,March,17
-37.5868,145.04696,June,23
-37.08184,143.91799,August,17
-37.91513,148.08461,Unknown,
-38.42959,145.05883,May,19
-35.77352,142.00966,March,19
-36.22348,145.20962,November,20
-36.27626,144.11059,October,2
-37.73235,144.96712,April,21
-36.91512,148.08459,December,30
-37.58185,142.58468,June,1
-37.42352,142.37635,November,8
-37.87346,148.02627,August,3
-35.65683,143.7263,December,13
-38.24848,146.58464,April,1
-34.45685,141.04298,April,18
-37.91513,147.75128,Unknown,
-36.12348,145.70961,November,21
-37.93766,145.17767,June,3
-36.41514,146.25128,June,1
-36.58179,147.41793,January,10
-38.08183,144.58466,December,29
-37.68299,145.85073,December,1
-37.86388,145.1272,January,1
-35.91518,142.58465,August,9
-35.08184,142.08465,January,1
-37.91516,145.41798,October,22
-37.84827,144.89689,April,12
-37.94937,141.40603,August,30
-38.0402,141.87637,July,29
-36.24853,141.08468,November,19
-37.91515,145.58465,Unknown,
-37.58256,145.06293,October,25
-36.41515,145.25129,March,15
-38.24849,145.91798,May,1
-37.84013,147.80961,April,1
-36.20679,147.54292,July,20
